freguesia,classification,listings,identifiable_licences,establishments_estimate
Carnide,licença única em Lisboa,22,22,22
Carnide,provável estabelecimento com anúncios múltiplos,2,2,1
Carnide,sem licença identificável,7,0,7
Estrela,licença oficial fora de Lisboa,29,29,29
Estrela,licença repetida em várias localizações,36,36,36
Estrela,licença repetida na mesma localização,28,28,11
Estrela,licença única em Lisboa,443,443,443
Estrela,provável estabelecimento com anúncios múltiplos,181,181,53
Estrela,sem licença identificável,257,0,257
Lumiar,licença oficial fora de Lisboa,1,1,1
Lumiar,licença repetida em várias localizações,4,4,4
Lumiar,licença única em Lisboa,52,52,52
Lumiar,provável estabelecimento com anúncios múltiplos,15,15,6
Lumiar,sem licença identificável,66,0,66
Marvila,licença oficial fora de Lisboa,5,5,5
Marvila,licença repetida em várias localizações,2,2,2
Marvila,licença repetida na mesma localização,2,2,1
Marvila,licença única em Lisboa,42,42,42
Marvila,provável estabelecimento com anúncios múltiplos,17,17,8
Marvila,sem licença identificável,38,0,38
Misericrdia,licença oficial fora de Lisboa,72,72,72
Misericrdia,licença repetida em várias localizações,97,97,97
Misericrdia,licença repetida na mesma localização,84,84,38
Misericrdia,licença única em Lisboa,1358,1358,1358
Misericrdia,provável estabelecimento com anúncios múltiplos,482,482,141
Misericrdia,sem licença identificável,495,0,495
Olivais,licença oficial fora de Lisboa,2,2,2
Olivais,licença repetida em várias localizações,2,2,2
Olivais,licença repetida na mesma localização,2,2,1
Olivais,licença única em Lisboa,60,60,60
Olivais,provável estabelecimento com anúncios múltiplos,38,38,12
Olivais,sem licença identificável,93,0,93
Parque das Naes,licença oficial fora de Lisboa,23,23,23
Parque das Naes,licença repetida em várias localizações,12,12,12
Parque das Naes,licença repetida na mesma localização,8,8,2
Parque das Naes,licença única em Lisboa,132,132,132
Parque das Naes,provável estabelecimento com anúncios múltiplos,19,19,6
Parque das Naes,sem licença identificável,141,0,141
Penha de Frana,licença oficial fora de Lisboa,26,26,26
Penha de Frana,licença repetida em várias localizações,49,49,49
Penha de Frana,licença repetida na mesma localização,14,14,6
Penha de Frana,licença única em Lisboa,208,208,208
Penha de Frana,provável estabelecimento com anúncios múltiplos,174,174,45
Penha de Frana,sem licença identificável,169,0,169
Santa Clara,licença oficial fora de Lisboa,3,3,3
Santa Clara,licença repetida em várias localizações,1,1,1
Santa Clara,licença única em Lisboa,7,7,7
Santa Clara,sem licença identificável,26,0,26
Santa Maria Maior,licença oficial fora de Lisboa,98,98,98
Santa Maria Maior,licença repetida em várias localizações,102,102,102
Santa Maria Maior,licença repetida na mesma localização,173,173,74
Santa Maria Maior,licença única em Lisboa,1977,1977,1977
Santa Maria Maior,provável estabelecimento com anúncios múltiplos,642,642,184
Santa Maria Maior,sem licença identificável,580,0,580
Santo Antnio,licença oficial fora de Lisboa,53,53,53
Santo Antnio,licença repetida em várias localizações,102,102,102
Santo Antnio,licença repetida na mesma localização,39,39,18
Santo Antnio,licença única em Lisboa,559,559,559
Santo Antnio,provável estabelecimento com anúncios múltiplos,323,323,81
Santo Antnio,sem licença identificável,410,0,410
So Domingos de Benfica,licença oficial fora de Lisboa,10,10,10
So Domingos de Benfica,licença repetida em várias localizações,9,9,9
So Domingos de Benfica,licença repetida na mesma localização,2,2,1
So Domingos de Benfica,licença única em Lisboa,65,65,65
So Domingos de Benfica,provável estabelecimento com anúncios múltiplos,14,14,5
So Domingos de Benfica,sem licença identificável,59,0,59
So Vicente,licença oficial fora de Lisboa,31,31,31
So Vicente,licença repetida em várias localizações,49,49,49
So Vicente,licença repetida na mesma localização,58,58,28
So Vicente,licença única em Lisboa,650,650,650
So Vicente,provável estabelecimento com anúncios múltiplos,195,195,73
So Vicente,sem licença identificável,267,0,267
